end_date,beta,se,p,ci_low,ci_high
2021-02-04,0.18210914656283755,0.13681613788393637,0.18317249632684285,-0.08605048368967771,0.4502687768153528
2021-02-11,0.1748347310763412,0.1238114895545961,0.1579192664242729,-0.06783578845066715,0.41750525060334953
2021-02-18,0.17258833581535088,0.11262583910959259,0.1254226626992257,-0.0481583088394506,0.39333498047015236
2021-02-25,0.12722898166281504,0.11325104615643516,0.2612573176876384,-0.09474306880379788,0.349201032129428
2021-03-04,0.0868566119162826,0.11449938561341709,0.44810557559477404,-0.13756218388601488,0.3112754077185801
2021-03-11,0.08238386609358986,0.10983887638184699,0.4532288855654768,-0.13290033161483022,0.29766806380200994
2021-03-18,0.04070954398839138,0.10178890250480332,0.6892000561546403,-0.15879670492102313,0.2402157928978059
2021-03-25,0.0068229441705162965,0.09890593561679834,0.9450022176237654,-0.18703268963840844,0.20067857797944103
2021-04-01,-0.03265093507728872,0.0927354069758054,0.724772986408114,-0.21441233274986732,0.14911046259528987
2021-04-08,-0.06718423956105452,0.09020606438245313,0.4564009274138443,-0.24398812575066264,0.10961964662855361
2021-04-15,-0.08122270133283163,0.08536928530962597,0.34138731293266444,-0.2485465005396985,0.08610109787403525
2021-04-22,-0.11955085182374253,0.08646766952847626,0.1667852359850338,-0.28902748409955603,0.04992578045207094
2021-04-29,-0.1531403932513803,0.09055828188469267,0.0908234351559448,-0.33063462574537794,0.02435383924261733
2021-05-06,-0.18012051486598776,0.08436581566373019,0.032761495753413646,-0.34547751356689893,-0.014763516165076596
2021-05-13,-0.20338626942173102,0.08179461908666262,0.012898906588229364,-0.36370372283158975,-0.04306881601187229
2021-05-20,-0.20828734889061162,0.06927025763315933,0.002639439755712241,-0.3440570538516039,-0.07251764392961935
2021-05-27,-0.19397078094215342,0.06347109402760003,0.0022427451218058774,-0.3183741252362495,-0.06956743664805737
2021-06-03,-0.19752819546343742,0.06045550625952182,0.0010856637431057065,-0.3160209877321002,-0.07903540319477466
2021-06-10,-0.2008355133875764,0.058679272723399456,0.000620259213603996,-0.31584688792543936,-0.08582413884971347
2021-06-17,-0.20100587549061705,0.05771181034013201,0.0004959683025771579,-0.3141210237572758,-0.08789072722395831
2021-06-24,-0.2046756646131744,0.05780726256583013,0.00039913272356573403,-0.31797789924220143,-0.09137342998414735
2021-07-01,-0.19788521084937627,0.059058845268387984,0.0008062365506823029,-0.3136405475754167,-0.08212987412333582
2021-07-08,-0.1928034733367861,0.060730691879253416,0.0014997662821264642,-0.3118356294201228,-0.0737713172534494
2021-07-15,-0.1857802966431474,0.06280397163650955,0.003095437964417721,-0.30887608105070613,-0.06268451223558869
2021-07-22,-0.18554280714156107,0.06621599542000149,0.0050773590120359305,-0.315326158164764,-0.05575945611835814
2021-07-29,-0.2058479993722758,0.06771652505011694,0.0023669692241326027,-0.33857238847050497,-0.0731236102740466
2021-08-05,-0.22758745599469268,0.06810282236644409,0.0008323065423771201,-0.36106898783292307,-0.09410592415646227
2021-08-12,-0.2473943593893293,0.06902770582642336,0.00033838970334558834,-0.38268866280911906,-0.11210005596953954
2021-08-19,-0.27308064671410975,0.0693128569717598,8.154048016062996e-05,-0.40893384637875896,-0.13722744704946055
2021-08-26,-0.3027056937916178,0.06884082876510383,1.0966508676042844e-05,-0.4376337181712213,-0.1677776694120143
2021-09-02,-0.34327425626073105,0.06477409084704895,1.1608134542100985e-07,-0.47023147432094703,-0.2163170382005151
2021-09-09,-0.3662431564337413,0.06636460711670708,3.416103698669583e-08,-0.49631778638248714,-0.2361685264849954
2021-09-16,-0.39640614102331406,0.06492575818602363,1.0246033714889095e-09,-0.5236606270679204,-0.26915165497870774
2021-09-23,-0.40768220599373184,0.06995458528681414,5.615862575471875e-09,-0.5447931931558876,-0.2705712188315761
2021-09-30,-0.42387493722341235,0.07663830562383248,3.186835936034237e-08,-0.574086016246124,-0.2736638582007007
