Date,Price,Returns,Energy_TWh_Annual,Google_Trends,EPU,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR_raw,CEIR
2024-01-15,42680.0,0.3857371342553373,137.683269911866,40.0,131.273678598285,896280000000.0,18860721.905735068,21153163570.752476,31.025146560460996,31.025146560460996
2024-01-16,43430.0,1.7572633552014993,137.683269911866,40.0,131.273678598285,912030000000.0,18860721.905735068,21172024292.65821,31.741414553025937,31.741414553025937
2024-01-17,42635.0,-1.8305318903983459,137.683269911866,40.0,131.273678598285,895335000000.0,18860721.905735068,21190885014.563946,30.92532471152598,30.92532471152598
2024-01-18,41063.0,-3.68711152808725,137.683269911866,40.0,131.273678598285,862323000000.0,18860721.905735068,21209745736.46968,29.34137012920101,29.34137012920101
2024-01-19,41592.0,1.2882643742542,137.683269911866,40.0,131.273678598285,873432000000.0,18860721.905735068,21228606458.375416,29.83860486754133,29.83860486754133
2024-01-20,41704.0,0.26928255433738,137.683269911866,40.0,131.273678598285,875784000000.0,18860721.905735068,21247467180.28115,29.922813604345436,29.922813604345436
2024-01-21,41754.0,0.11989257625166783,137.683269911866,40.0,131.273678598285,876834000000.0,18860721.905735068,21266327902.186886,29.94564942895065,29.94564942895065
2024-01-22,39811.0,-4.653446376395076,137.683269911866,40.0,131.273678598285,836031000000.0,18860721.905735068,21285188624.09262,28.00214790323046,28.00214790323046
2024-01-23,39179.0,-1.5875009419507147,137.683269911866,40.0,131.273678598285,822759000000.0,18860721.905735068,21304049345.998356,27.354377120303774,27.354377120303774
2024-01-24,39767.0,1.5008040021440072,137.683269911866,40.0,131.273678598285,835107000000.0,18860721.905735068,21322910067.90409,27.90927683439296,27.90927683439296
2024-01-25,39900.0,0.33444816053511683,137.683269911866,40.0,131.273678598285,837900000000.0,18860721.905735068,21341770789.809826,28.015482215069174,28.015482215069174
2024-01-26,41997.0,5.255639097744358,137.683269911866,40.0,131.273678598285,881937000000.0,18860721.905735068,21360631511.71556,30.05234183492749,30.05234183492749
2024-01-27,42014.23,0.041026740005256634,137.683269911866,40.0,131.273678598285,882298830000.0001,18860721.905735068,21379492233.621296,30.04275419553341,30.04275419553341
2024-01-28,41967.0,-0.11241429391899427,137.683269911866,40.0,131.273678598285,881307000000.0,18860721.905735068,21398352955.52703,29.969923448447247,29.969923448447247
2024-01-29,43180.0,2.8903662401410735,137.683269911866,40.0,131.273678598285,906780000000.0,18860721.905735068,21417213677.432766,31.13290132145357,31.13290132145357
2024-01-30,43547.0,0.849930523390463,137.683269911866,40.0,131.273678598285,914487000000.0,18860721.905735068,21436074399.3385,31.46504287281323,31.46504287281323
2024-01-31,42457.09,-2.502836016258303,137.683269911866,40.0,131.273678598285,891598889999.9999,18860721.905735068,21454935121.244236,30.37058309977363,30.37058309977363
2024-02-01,43104.64,1.525186959351199,137.683269911866,36.0,106.512873427937,905197440000.0,18860721.905735068,21473795843.14997,30.977170727465705,30.977170727465705
2024-02-02,42970.5,-0.31119619604756954,137.683269911866,36.0,106.512873427937,902380500000.0,18860721.905735068,21492656565.055706,30.81892170914532,30.81892170914532
2024-02-03,43034.84,0.14973062915255575,137.683269911866,36.0,106.512873427937,903731639999.9999,18860721.905735068,21511517286.96144,30.85471057879775,30.85471057879775
2024-02-04,42758.0,-0.6432927367686192,137.683269911866,36.0,106.512873427937,897918000000.0,18860721.905735068,21530378008.867176,30.557661353137405,30.557661353137405
2024-02-05,42334.01,-0.991603910379335,137.683269911866,36.0,106.512873427937,889014210000.0,18860721.905735068,21549238730.77291,30.117732608028966,30.117732608028966
2024-02-06,43153.0,1.9345911242520941,137.683269911866,36.0,106.512873427937,906213000000.0,18860721.905735068,21568099452.678646,30.8888134284479,30.8888134284479
2024-02-07,44188.82,2.4003429657265984,137.683269911866,36.0,106.512873427937,927965220000.0,18860721.905735068,21586960174.58438,31.8694811328731,31.8694811328731
2024-02-08,45329.38,2.581105356513258,137.683269911866,36.0,106.512873427937,951916980000.0,18860721.905735068,21605820896.490116,32.95023981781,32.95023981781
2024-02-09,47542.0,4.881205081560802,137.683269911866,36.0,106.512873427937,998382000000.0,18860721.905735068,21624681618.39585,35.07020419458355,35.07020419458355
2024-02-10,47953.0,0.8644987589920383,137.833371052789,36.0,106.512873427937,1007013000000.0,18881283.70586151,21643562902.10171,35.43838893205142,35.43838893205142
2024-02-11,48112.34,0.33228369445081896,138.150225462667,36.0,106.512873427937,1010359139999.9999,18924688.419543426,21662487590.521255,35.5618964249093,35.5618964249093
2024-02-12,49833.62,3.5776268624639895,138.478338074213,36.0,106.512873427937,1046506020000.0,18969635.352631923,21681457225.873886,37.19796190809279,37.19796190809279
2024-02-13,49563.0,-0.543047043341427,138.80874967104,36.0,106.512873427937,1040823000000.0,19014897.215210963,21700472123.089096,36.903482811691084,36.903482811691084
2024-02-14,51773.0,4.458971410124479,139.17456051247,36.0,106.512873427937,1087233000000.0,19065008.289379455,21719537131.378475,39.007875484417774,39.007875484417774
2024-02-15,51368.0,-0.7822610240859174,139.545144442804,36.0,106.512873427937,1078728000000.0,19115773.211343016,21738652904.589817,38.58233551458537,38.58233551458537
2024-02-16,52005.0,1.2400716399314726,139.912033185423,36.0,106.512873427937,1092105000000.0,19166031.94320863,21757818936.533024,39.163162561724015,39.163162561724015
2024-02-17,51806.0,-0.3826555138928933,140.238607202096,36.0,106.512873427937,1087926000000.0,19210768.109876167,21777029704.6429,38.93671503874658,38.93671503874658
2024-02-18,51875.0,0.13318920588349936,140.543248048655,36.0,106.512873427937,1089375000000.0,19252499.73269247,21796282204.37559,38.968801744982386,38.968801744982386
2024-02-19,51901.86,0.05177831325300364,140.846578518346,36.0,106.512873427937,1089939060000.0,19294051.85182822,21815576256.22742,38.960192938170884,38.960192938170884
