Date,Price,Returns,Energy_TWh_Annual,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR,CEIR_winsorized,fear_greed,volatility_30d,EPUREG,weighted_elec_price,daily_energy_gwh,daily_elec_cost_enhanced,CEIR_enhanced,daily_energy_twh,daily_cost_millions,CEIR_corrected,cost_to_mcap_ratio,CEIR_methodology,daily_energy_twh_fixed,daily_cost_millions_fixed,cumulative_cost_millions,CEIR_fixed,YearMonth,date,canada,usa,russia,kazakhstan,iran,china,malaysia,others,weighted_price_calculated,DateTime,ETH_TWh_Annual,ETH_TWh_Min,ETH_BTC_ratio
2020-09-26,10717.81,-0.0458838374182701,69.6347818329119,225074010000.0,9539011.209987933,8848863176.411274,-1.6867692157099612,-1.6867692157099612,45.0,47.76609800970417,73.83682806010862,0.069832885,190.78022419975863,13322.733456815962,13058342.54794566,0.1907802241997586,13322.73345681596,13058342.547945658,5.801799393873001e-05,Cumulative cost using time-varying electricity prices,0.19078022419975862,9539.011209987932,8843822.758427462,0.025449855356443268,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-26,6.49606634004,4.38337482479106,0.09328766701139754
2020-09-27,10722.73,0.0459049003481037,69.8436861784107,225177330000.0,9567628.243617903,8858430804.654892,-1.6732839401094657,-1.6732839401094657,47.0,47.05027365551504,72.49742088459894,0.069832885,191.3525648723581,13362.701657186422,13071705.249602849,0.1913525648723581,13362.701657186422,13071705.249602843,5.805071607165271e-05,Cumulative cost using time-varying electricity prices,0.1913525648723581,9567.628243617906,8853390.38667108,0.025434022466580494,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-27,6.51082858146,4.41636351025912,0.0932200022322498
2020-09-28,10874.25,1.4130729767512618,70.0532172369459,228359250000.0,9596331.128348753,8868027135.783241,-1.312665130785244,-1.312665130785244,43.0,47.38207709612,73.11827138598835,0.069832885,191.92662256697503,13402.789762157972,13085108.039365008,0.191926622566975,13402.789762157972,13085108.039365005,5.730053868790077e-05,Cumulative cost using time-varying electricity prices,0.19192662256697507,9596.331128348753,8862986.717799429,0.02576549613251579,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-28,6.52543898256,4.12302318333397,0.09314974015381122
2020-09-29,10753.84,-1.1072947559601751,70.2633768886567,225830640000.0,9625120.121733794,8877652255.904976,-1.596070626733013,-1.596070626733013,45.0,47.49466917683208,73.32894686793972,0.069832885,192.50240243467587,13442.99813144444,13098551.037496451,0.1925024024346758,13442.99813144444,13098551.037496448,5.8001655742978224e-05,Cumulative cost using time-varying electricity prices,0.19250240243467587,9625.120121733793,8872611.837921163,0.025452554910022046,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-29,6.54063834732,4.37806911141373,0.09308744664641815
2020-09-30,10711.5,-0.3937198247323747,70.4741670193226,224941500000.0,9653995.482098987,8887306251.387075,-1.6943829293212174,-1.6943829293212174,49.0,47.11005993613559,72.60928935176071,0.069832885,193.07990964197973,13483.32712583876,13112034.36462229,0.1930799096419797,13483.327125838763,13112034.364622286,5.8290863911827234e-05,Cumulative cost using time-varying electricity prices,0.19307990964197974,9653.995482098988,8882265.833403261,0.025324788091127544,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-30,6.5550069843,4.28863491013668,0.09301290474994545
2020-10-01,10602.25,-1.0199318489473974,70.6572131970155,222647250000.0,9679070.300961029,8896985321.688036,-1.9504078485663547,-1.9504078485663547,45.0,45.72393061532787,70.0156481217451,0.0701141799999999,193.5814060192205,13572.801546284709,13125607.166168574,0.1935814060192205,13572.801546284692,13125607.16616857,5.895247826401885e-05,Cumulative cost using time-varying electricity prices,0.19358140601922053,9679.070300961028,8891944.903704222,0.025039207103864217,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-01,6.56887581642,4.33642052884244,0.09296822672730977
2020-10-02,10544.55,-0.5442241033742912,70.2602137056919,221435550000.0,9624686.80899889,8906610008.497034,-2.0843452202677875,-2.0843452202677875,41.0,41.97749185767984,63.00553883273432,0.0701141799999999,192.49373617997784,13496.540467395474,13139103.70663597,0.1924937361799778,13496.540467395458,13139103.706635969,5.933601766579922e-05,Cumulative cost using time-varying electricity prices,0.1924937361799778,9624.686808998891,8901569.590513222,0.024876011780663176,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-02,6.58186579356,4.37585471226881,0.09367841978292747
2020-10-03,10580.46,0.3405550734739693,70.470994346809,222189660000.0,9653560.86942589,8916263569.36646,-1.9975116102658608,-1.9975116102658608,40.0,37.99571820937829,55.555085150096176,0.0701141799999999,193.0712173885178,13537.030088797665,13152640.736724768,0.1930712173885178,13537.030088797648,13152640.736724764,5.919555724026385e-05,Cumulative cost using time-varying electricity prices,0.1930712173885178,9653.56086942589,8911223.151382647,0.024933688251934923,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-03,6.5953182045,4.05658680863002,0.09358911798579785
2020-10-04,10544.72,-0.3377924967345458,70.6824073298494,221439120000.0,9682521.552034164,8925946090.918495,-2.079429991055441,-2.079429991055441,42.0,37.557816993132384,54.73571091705743,0.0701141799999999,193.6504310406833,13577.641179064052,13166218.377903832,0.1936504310406832,13577.641179064036,13166218.377903828,5.945750858251165e-05,Cumulative cost using time-varying electricity prices,0.19365043104068327,9682.521552034164,8920905.672934681,0.024822493154683687,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-04,6.60914928768,4.39051371434446,0.09350486970311403
2020-10-05,10737.95,1.8324810900621544,70.8944545518389,225496950000.00003,9711569.11669026,8935657660.035185,-1.6230534507678154,-1.6230534507678154,42.0,33.799029439618536,47.70249530916439,0.0701141799999999,194.2313823338052,13618.374102601236,13179836.752006434,0.1942313823338052,13618.37410260122,13179836.75200643,5.8447960169778034e-05,Cumulative cost using time-varying electricity prices,0.1942313823338052,9711.56911669026,8930617.242051372,0.025249872868608476,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-05,6.62308389996,4.43684672984082,0.09342174845448764
2020-10-06,10545.17,-1.795314748159571,71.1071379154945,221448570000.0,9740703.824040344,8945398363.859224,-2.073851744261117,-2.073851744261117,47.0,34.199438341058524,48.451716193572814,0.0701141799999999,194.81407648080685,13659.229224909051,13193495.981231345,0.1948140764808068,13659.22922490904,13193495.98123134,5.957814936999295e-05,Cumulative cost using time-varying electricity prices,0.19481407648080687,9740.703824040344,8940357.945875412,0.024769541817077263,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-06,6.63653259882,4.55498644298676,0.09333145438517045
2020-10-07,10656.19,1.0528042696324569,71.320459329241,223779990000.0,9769925.935512466,8955168289.794737,-1.8112456935604704,-1.8112456935604704,43.0,34.16571379933487,48.38861287372753,0.0701141799999999,195.3985187102493,13700.206912583784,13207196.188143928,0.1953985187102493,13700.20691258377,13207196.188143924,5.901866466319855e-05,Cumulative cost using time-varying electricity prices,0.19539851871024932,9769.925935512467,8950127.871810924,0.02500299361138865,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-07,6.64913335602,4.50841195120691,0.09322897550792822
2020-10-08,10899.75,2.285619907302694,71.5344207072287,228894750000.0,9799235.713319,8964967525.508057,-1.238738452582476,-1.238738452582476,46.0,34.49011896584899,48.99562017273686,0.0701141799999999,195.98471426638,13741.307533321537,13220937.49567725,0.19598471426638,13741.307533321517,13220937.495677246,5.7759898362357575e-05,Cumulative cost using time-varying electricity prices,0.19598471426638,9799.235713319,8959927.107524244,0.025546496891451484,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-08,6.66251352108,4.37222381525988,0.09313717026308062
2020-10-09,11036.99,1.2591114475102527,71.7490239693504,231776790000.0,9828633.42045896,8974796158.928516,-0.9162559075861788,-0.9162559075861788,48.0,33.791161491824674,47.68777328179837,0.0701141799999999,196.5726684091792,13782.531455921498,13234720.02713317,0.1965726684091792,13782.531455921484,13234720.027133169,5.71011447139861e-05,Cumulative cost using time-varying electricity prices,0.1965726684091792,9828.63342045896,8969755.740944702,0.025839810658610983,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-09,6.67606151994,4.44786840742524,0.09304741933202974
2020-10-10,11364.07,2.963489139702036,71.9642710412584,238645470000.0,9858119.320720328,8984654278.249237,-0.1507603918916673,-0.1507603918916673,53.0,35.08608393173363,50.11075372049453,0.0701141799999999,197.16238641440657,13823.879050289252,13248543.90618346,0.1971623864144066,13823.87905028924,13248543.906183455,5.551558932245165e-05,Cumulative cost using time-varying electricity prices,0.1971623864144066,9858.11932072033,8979613.860265423,0.026576362159179308,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-10,6.69031215906,4.44786840742524,0.09296713580582683
2020-10-11,11036.99,-2.8781941681105483,72.1801638543822,231776790000.0,9887693.678682497,8994541971.92792,-0.9142444413139372,-0.9142444413139372,55.0,36.84422905770688,53.400488392882814,0.0701141799999999,197.75387357364988,13865.350687440128,13262409.2568709,0.1977538735736498,13865.350687440112,13262409.256870896,5.722060978094872e-05,Cumulative cost using time-varying electricity prices,0.19775387357364987,9887.693678682495,8989501.553944105,0.025783052442803007,2020-10,2020-10-01,0.0,0.0671,0.049,0.0359,0.0,0.6738,0.0412,0.133,0.045625,2020-10-11,6.70579975842,4.44151260246741,0.09290363723679575
