day,market_price,peg_deviation_bps,supply,action,action_magnitude,in_band
362,1.0607066846532809,607.0668465328089,999808782.4267281,hold,0.0,False
363,1.0505816298986437,505.8162989864368,999809781.4267281,hold,0.0,False
364,1.0670218746252385,670.2187462523846,999810780.4267281,hold,0.0,False
365,1.0286996017416272,286.99601741627225,999811779.4267281,hold,0.0,True
366,1.075293912999775,752.9391299977494,999812778.4267281,hold,0.0,False
367,1.099240645237135,992.4064523713505,999813777.4267281,hold,0.0,False
368,1.100021759528753,1000.2175952875292,999814776.4267281,hold,0.0,False
369,1.1060637911286817,1060.637911286817,999815775.4267281,hold,0.0,False
370,1.1685370107284367,1685.3701072843674,999816774.4267281,hold,0.0,False
371,1.117655132122951,1176.551321229511,999817773.4267281,hold,0.0,False
372,1.0275742978620068,275.74297862006824,999818772.4267281,hold,0.0,True
373,1.0045552391818395,45.55239181839532,999819771.4267281,hold,0.0,True
374,0.8978665467266179,-1021.3345327338208,999820770.4267281,hold,0.0,False
375,0.9114739686123678,-885.2603138763216,999821769.4267281,hold,0.0,False
376,0.9646357256544407,-353.64274345559335,999822768.4267281,hold,0.0,True
377,1.0818316220024364,818.3162200243644,999823767.4267281,hold,0.0,False
378,1.1872957408209512,1872.9574082095123,999824766.4267281,hold,0.0,False
379,1.1661302892281216,1661.3028922812157,999825765.4267281,hold,0.0,False
380,1.1800245136816048,1800.2451368160478,999826764.4267281,hold,0.0,False
381,1.1311326738647118,1311.3267386471184,999827763.4267281,hold,0.0,False
382,1.1832572310296188,1832.5723102961877,999828762.4267281,hold,0.0,False
383,1.2555662783890758,2555.6627838907575,999829761.4267281,hold,0.0,False
384,1.1190659111203787,1190.6591112037868,999830760.4267281,hold,0.0,False
385,1.262942668746623,2629.42668746623,999831759.4267281,hold,0.0,False
386,1.272351930533156,2723.519305331561,999832758.4267281,hold,0.0,False
387,1.2814629534065263,2814.6295340652628,999833757.4267281,hold,0.0,False
388,1.344145264114505,3441.4526411450506,999834756.4267281,hold,0.0,False
389,1.3450189925763307,3450.189925763307,999835755.4267281,hold,0.0,False
390,1.3491595407807286,3491.5954078072864,999836754.4267281,hold,0.0,False
391,1.2349352300461787,2349.352300461787,999837753.4267281,hold,0.0,False
392,1.1793302407595418,1793.3024075954186,999838752.4267281,hold,0.0,False
393,1.2199486295454196,2199.486295454196,999839751.4267281,hold,0.0,False
394,1.2484211661699862,2484.2116616998624,999840750.4267281,hold,0.0,False
395,1.3337738645692954,3337.7386456929535,999841749.4267281,hold,0.0,False
396,1.3976785600165869,3976.7856001658683,999842748.4267281,hold,0.0,False
397,1.4679190471602137,4679.190471602137,999843747.4267281,hold,0.0,False
398,1.4306752042990332,4306.752042990332,999844746.4267281,hold,0.0,False
399,1.3966587163778952,3966.587163778952,999845745.4267281,hold,0.0,False
400,1.4675871176246027,4675.871176246027,999846744.4267281,hold,0.0,False
401,1.4406588606650856,4406.5886066508565,999847743.4267281,hold,0.0,False
402,1.4746869811278336,4746.869811278336,999848742.4267281,hold,0.0,False
403,1.4869574937949877,4869.574937949877,999849741.4267281,hold,0.0,False
404,1.414395469308393,4143.9546930839315,998966703.2600898,burn,-884037.1666383705,False
405,1.4098487050404556,4098.487050404556,996082740.4618895,burn,-2884961.798200219,False
406,1.3151980499024851,3151.9804990248513,992580088.5451255,burn,-3503650.91676405,False
407,1.2629647900081058,2629.647900081058,988303145.8244541,burn,-4277941.720671399,False
408,1.3653134373286158,3653.134373286158,981227919.3910308,burn,-7076225.433423317,False
409,1.294010301704671,2940.1030170467093,973460542.090285,burn,-7768376.300745892,False
410,1.2796212487756913,2796.2124877569127,964533729.5655425,burn,-8927811.524742467,False
411,1.340414677402398,3404.1467740239796,953460706.4009402,burn,-11074022.164602231,False
412,1.376577216055402,3765.7721605540196,940374761.5422318,burn,-13086943.858708426,False
413,1.3242921028761638,3242.9210287616384,926435326.2882878,burn,-13940434.25394408,False
414,1.3240702263648065,3240.702263648065,911203438.9609123,burn,-15232886.327375459,False
415,1.2869057691549821,2869.0576915498214,895253497.6994157,burn,-15950940.261496656,False
416,1.3071232989861803,3071.2329898618027,878027001.6510012,burn,-17227495.048414413,False
417,1.3666873519700573,3666.873519700573,858999202.1564,burn,-19028798.494601212,False
418,1.3040557726589794,3040.557726589794,839615863.844427,burn,-19384337.311973024,False
419,1.484065149620025,4840.65149620025,817126402.4057555,burn,-22490460.43867143,False
420,1.4680605809324456,4680.6058093244565,793457811.6026365,burn,-23669589.803119063,False
421,1.4373263773407685,4373.263773407685,768983688.4505764,burn,-24475122.15206008,False
422,1.541886683142422,5418.86683142422,742376936.0817872,burn,-26607751.368789222,False
423,1.5245400028406615,5245.400028406615,714872554.7826838,burn,-27505380.299103435,False
424,1.6165911313875672,6165.911313875672,685525253.8332956,burn,-29348299.949388254,False
425,1.6603200728533218,6603.200728533218,654819670.4137408,burn,-30706582.41955485,False
426,1.6713559036900107,6713.5590369001075,623219125.4122287,burn,-31601544.001512066,False
427,1.6671935061471073,6671.935061471073,591090522.2313262,burn,-32129602.18090252,False
